Player,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MVP_Award_Year,PlayerPhoto,TeamLogo
Stephen Curry,2011-12,23,GSW,NBA,PG,26.0,23,28.2,5.6,11.4,.490,2.1,4.7,.455,3.5,6.7,.514,.583,1.5,1.8,.809,0.6,2.8,3.4,5.3,1.5,0.3,2.5,2.4,14.7,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2012-13,24,GSW,NBA,PG,78.0,78,38.2,8.0,17.8,.451,3.5,7.7,.453,4.5,10.1,.449,.549,3.4,3.7,.900,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2013-14,25,GSW,NBA,PG,78.0,78,36.5,8.4,17.7,.471,3.3,7.9,.424,5.0,9.8,.509,.566,3.9,4.5,.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2014-15,26,GSW,NBA,PG,80.0,80,32.7,8.2,16.8,.487,3.6,8.1,.443,4.6,8.7,.528,.594,3.9,4.2,.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2015-16,27,GSW,NBA,PG,79.0,79,34.2,10.2,20.2,.504,5.1,11.2,.454,5.1,9.0,.566,.630,4.6,5.1,.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2016-17,28,GSW,NBA,PG,79.0,79,33.4,8.5,18.3,.468,4.1,10.0,.411,4.4,8.3,.537,.580,4.1,4.6,.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2017-18,29,GSW,NBA,PG,51.0,51,32.0,8.4,16.9,.495,4.2,9.8,.423,4.2,7.1,.595,.618,5.5,5.9,.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2018-19,30,GSW,NBA,PG,69.0,69,33.8,9.2,19.4,.472,5.1,11.7,.437,4.0,7.7,.525,.604,3.8,4.2,.916,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2019-20,31,GSW,NBA,PG,5.0,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2020-21,32,GSW,NBA,PG,63.0,63,34.2,10.4,21.7,.482,5.3,12.7,.421,5.1,9.0,.569,.605,5.7,6.3,.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,1.9,32.0,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2021-22,33,GSW,NBA,PG,64.0,64,34.5,8.4,19.1,.437,4.5,11.7,.380,3.9,7.4,.527,.554,4.3,4.7,.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2022-23,34,GSW,NBA,PG,56.0,56,34.7,10.0,20.2,.493,4.9,11.4,.427,5.1,8.8,.579,.614,4.6,5.0,.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2023-24,35,GSW,NBA,PG,74.0,74,32.7,8.8,19.5,.450,4.8,11.8,.408,4.0,7.7,.515,.573,4.0,4.4,.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2024-25,36,GSW,NBA,PG,48.0,48,32.1,7.9,17.9,.440,4.3,11.1,.390,3.5,6.8,.520,.560,3.4,3.7,.927,0.5,3.9,4.5,6.1,1.0,0.5,2.9,1.3,23.5,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Kevin Durant,2007-08,19,SEA,NBA,SG,80.0,80,34.6,7.3,17.1,.430,0.7,2.6,.288,6.6,14.5,.455,.451,4.9,5.6,.873,0.9,3.5,4.4,2.4,1.0,0.9,2.9,1.5,20.3,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,
Kevin Durant,2008-09,20,OKC,NBA,SF,74.0,74,39.0,8.9,18.8,.476,1.3,3.1,.422,7.6,15.7,.486,.510,6.1,7.1,.863,1.0,5.5,6.5,2.8,1.3,0.7,3.0,1.8,25.3,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Kevin Durant,2009-10,21,OKC,NBA,SF,82.0,82,39.5,9.7,20.3,.476,1.6,4.3,.365,8.1,16.1,.506,.514,9.2,10.2,.900,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Kevin Durant,2010-11,22,OKC,NBA,SF,78.0,78,38.9,9.1,19.7,.462,1.9,5.3,.350,7.3,14.4,.504,.509,7.6,8.7,.880,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Kevin Durant,2011-12,23,OKC,NBA,SF,66.0,66,38.6,9.7,19.7,.496,2.0,5.2,.387,7.7,14.4,.535,.547,6.5,7.6,.860,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Kevin Durant,2012-13,24,OKC,NBA,SF,81.0,81,38.5,9.0,17.7,.510,1.7,4.1,.416,7.3,13.6,.539,.559,8.4,9.3,.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Kevin Durant,2013-14,25,OKC,NBA,SF,81.0,81,38.5,10.5,20.8,.503,2.4,6.1,.391,8.1,14.8,.549,.560,8.7,9.9,.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Kevin Durant,2014-15,26,OKC,NBA,SF,27.0,27,33.8,8.8,17.3,.510,2.4,5.9,.403,6.4,11.4,.565,.578,5.4,6.3,.854,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Kevin Durant,2015-16,27,OKC,NBA,SF,72.0,72,35.8,9.7,19.2,.505,2.6,6.7,.387,7.1,12.5,.569,.573,6.2,6.9,.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Kevin Durant,2016-17,28,GSW,NBA,PF,62.0,62,33.4,8.9,16.5,.537,1.9,5.0,.375,7.0,11.5,.608,.594,5.4,6.2,.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Kevin Durant,2017-18,29,GSW,NBA,SF,68.0,68,34.2,9.3,18.0,.516,2.5,6.1,.419,6.7,11.9,.565,.586,5.3,5.9,.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Kevin Durant,2018-19,30,GSW,NBA,SF,78.0,78,34.6,9.2,17.7,.521,1.8,5.0,.353,7.5,12.8,.587,.571,5.7,6.5,.885,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2.0,26.0,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Kevin Durant,2020-21,32,BRK,NBA,PF,35.0,32,33.1,9.3,17.2,.537,2.4,5.4,.450,6.8,11.8,.577,.608,6.0,6.8,.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2.0,26.9,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,
Kevin Durant,2021-22,33,BRK,NBA,PF,55.0,55,37.2,10.5,20.3,.518,2.1,5.5,.383,8.4,14.8,.568,.570,6.8,7.4,.910,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,
Kevin Durant,2022-23,34,2TM,NBA,PF,47.0,47,35.6,10.3,18.3,.560,2.0,4.9,.404,8.3,13.4,.617,.614,6.5,7.1,.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1,29.1,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,
Kevin Durant,2022-23,34,BRK,NBA,PF,39.0,39,36.0,10.5,18.8,.559,1.8,4.8,.376,8.7,14.0,.622,.607,6.8,7.3,.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,
Kevin Durant,2022-23,34,PHO,NBA,PF,8.0,8,33.6,9.1,16.0,.570,2.8,5.1,.537,6.4,10.9,.586,.656,5.0,6.0,.833,0.4,6.0,6.4,3.5,0.3,1.3,2.5,0.9,26.0,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,
Kevin Durant,2023-24,35,PHO,NBA,PF,75.0,75,37.2,10.0,19.1,.523,2.2,5.4,.413,7.8,13.7,.567,.581,4.8,5.6,.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,
Kevin Durant,2024-25,36,PHO,NBA,PF,44.0,44,36.6,9.8,18.4,.532,2.3,5.8,.401,7.5,12.6,.593,.596,5.0,6.1,.824,0.4,5.6,6.0,4.2,0.9,1.4,3.0,1.7,26.9,2013-14,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,
LeBron James,2003-04,19,CLE,NBA,SG,79.0,79,39.5,7.9,18.9,.417,0.8,2.7,.290,7.1,16.1,.438,.438,4.4,5.8,.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2004-05,20,CLE,NBA,SF,80.0,80,42.4,9.9,21.1,.472,1.4,3.9,.351,8.6,17.2,.499,.504,6.0,8.0,.750,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2005-06,21,CLE,NBA,SF,79.0,79,42.5,11.1,23.1,.480,1.6,4.8,.335,9.5,18.3,.518,.515,7.6,10.3,.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2006-07,22,CLE,NBA,SF,78.0,78,40.9,9.9,20.8,.476,1.3,4.0,.319,8.6,16.8,.513,.507,6.3,9.0,.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2007-08,23,CLE,NBA,SF,75.0,74,40.4,10.6,21.9,.484,1.5,4.8,.315,9.1,17.1,.531,.518,7.3,10.3,.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2008-09,24,CLE,NBA,SF,81.0,81,37.7,9.7,19.9,.489,1.6,4.7,.344,8.1,15.2,.535,.530,7.3,9.4,.780,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2009-10,25,CLE,NBA,SF,76.0,76,39.0,10.1,20.1,.503,1.7,5.1,.333,8.4,15.0,.560,.545,7.8,10.2,.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2010-11,26,MIA,NBA,SF,79.0,79,38.8,9.6,18.8,.510,1.2,3.5,.330,8.4,15.3,.552,.541,6.4,8.4,.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
LeBron James,2011-12,27,MIA,NBA,SF,62.0,62,37.5,10.0,18.9,.531,0.9,2.4,.362,9.1,16.5,.556,.554,6.2,8.1,.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
LeBron James,2012-13,28,MIA,NBA,PF,76.0,76,37.9,10.1,17.8,.565,1.4,3.3,.406,8.7,14.5,.602,.603,5.3,7.0,.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
LeBron James,2013-14,29,MIA,NBA,PF,77.0,77,37.7,10.0,17.6,.567,1.5,4.0,.379,8.5,13.6,.622,.610,5.7,7.6,.750,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
LeBron James,2014-15,30,CLE,NBA,SF,69.0,69,36.1,9.0,18.5,.488,1.7,4.9,.354,7.3,13.6,.536,.535,5.4,7.7,.710,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2015-16,31,CLE,NBA,SF,76.0,76,35.6,9.7,18.6,.520,1.1,3.7,.309,8.6,14.9,.573,.551,4.7,6.5,.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2016-17,32,CLE,NBA,SF,74.0,74,37.8,9.9,18.2,.548,1.7,4.6,.363,8.3,13.5,.611,.594,4.8,7.2,.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2017-18,33,CLE,NBA,PF,82.0,82,36.9,10.5,19.3,.542,1.8,5.0,.367,8.6,14.3,.603,.590,4.7,6.5,.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
LeBron James,2018-19,34,LAL,NBA,SF,55.0,55,35.2,10.1,19.9,.510,2.0,5.9,.339,8.1,14.0,.582,.560,5.1,7.6,.665,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
LeBron James,2019-20,35,LAL,NBA,PG,67.0,67,34.6,9.6,19.4,.493,2.2,6.3,.348,7.4,13.1,.564,.550,3.9,5.7,.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
LeBron James,2020-21,36,LAL,NBA,PG,45.0,45,33.4,9.4,18.3,.513,2.3,6.3,.365,7.1,12.0,.591,.576,4.0,5.7,.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,25.0,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
LeBron James,2021-22,37,LAL,NBA,C,56.0,56,37.2,11.4,21.8,.524,2.9,8.0,.359,8.6,13.8,.620,.590,4.5,6.0,.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
LeBron James,2022-23,38,LAL,NBA,PF,55.0,54,35.5,11.1,22.2,.500,2.2,6.9,.321,8.9,15.3,.580,.549,4.6,5.9,.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
LeBron James,2023-24,39,LAL,NBA,PF,71.0,71,35.3,9.6,17.9,.540,2.1,5.1,.410,7.5,12.8,.592,.599,4.3,5.7,.750,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
LeBron James,2024-25,40,LAL,NBA,SF,51.0,51,34.6,9.5,18.3,.518,2.3,5.8,.395,7.2,12.5,.574,.580,3.5,4.5,.769,0.9,6.9,7.7,8.8,0.9,0.6,3.9,1.4,24.7,2012-13,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
Derrick Rose,2008-09,20,CHI,NBA,PG,81.0,80,37.0,7.1,14.9,.475,0.2,0.9,.222,6.9,14.0,.491,.482,2.4,3.1,.788,1.2,2.7,3.9,6.3,0.8,0.2,2.5,1.5,16.8,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Derrick Rose,2009-10,21,CHI,NBA,PG,78.0,78,36.8,8.6,17.6,.489,0.2,0.8,.267,8.4,16.8,.500,.495,3.3,4.3,.766,0.8,2.9,3.8,6.0,0.7,0.3,2.8,1.2,20.8,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Derrick Rose,2010-11,22,CHI,NBA,PG,81.0,81,37.4,8.8,19.7,.445,1.6,4.8,.332,7.2,15.0,.481,.485,5.9,6.9,.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Derrick Rose,2011-12,23,CHI,NBA,PG,39.0,39,35.3,7.7,17.8,.435,1.4,4.4,.312,6.4,13.4,.475,.473,5.0,6.1,.812,0.7,2.7,3.4,7.9,0.9,0.7,3.1,1.3,21.8,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Derrick Rose,2013-14,25,CHI,NBA,PG,10.0,10,31.1,5.8,16.4,.354,1.6,4.7,.340,4.2,11.7,.359,.402,2.7,3.2,.844,0.9,2.3,3.2,4.3,0.5,0.1,3.4,1.5,15.9,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Derrick Rose,2014-15,26,CHI,NBA,PG,51.0,51,30.0,6.6,16.4,.405,1.5,5.3,.280,5.1,11.1,.465,.450,3.0,3.7,.813,0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2,17.7,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Derrick Rose,2015-16,27,CHI,NBA,PG,66.0,66,31.8,6.8,15.9,.427,0.7,2.3,.293,6.1,13.6,.449,.448,2.2,2.7,.793,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,16.4,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Derrick Rose,2016-17,28,NYK,NBA,PG,64.0,64,32.5,7.2,15.3,.471,0.2,0.9,.217,7.0,14.3,.487,.477,3.5,4.0,.874,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
Derrick Rose,2017-18,29,2TM,NBA,PG,25.0,7,16.8,3.2,7.4,.435,0.3,1.2,.233,3.0,6.2,.474,.454,1.6,1.8,.870,0.5,0.9,1.4,1.5,0.3,0.2,1.4,0.6,8.4,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,
Derrick Rose,2017-18,29,CLE,NBA,PG,16.0,7,19.3,3.6,8.3,.439,0.4,1.5,.250,3.3,6.8,.481,.462,2.2,2.6,.854,0.6,1.2,1.8,1.6,0.2,0.3,1.8,0.9,9.8,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
Derrick Rose,2017-18,29,MIN,NBA,PG,9.0,0,12.4,2.6,6.0,.426,0.1,0.7,.167,2.4,5.3,.458,.435,0.6,0.6,1.000,0.3,0.3,0.7,1.2,0.4,0.0,0.8,0.2,5.8,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
Derrick Rose,2018-19,30,MIN,NBA,PG,51.0,13,27.3,7.1,14.8,.482,1.1,2.9,.370,6.1,11.9,.509,.518,2.7,3.1,.856,0.6,2.1,2.7,4.3,0.6,0.2,1.6,1.1,18.0,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
Derrick Rose,2019-20,31,DET,NBA,PG,50.0,15,26.0,7.4,15.1,.490,0.9,2.9,.306,6.5,12.1,.535,.520,2.4,2.8,.871,0.5,1.9,2.4,5.6,0.8,0.3,2.5,1.0,18.1,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
Derrick Rose,2020-21,32,2TM,NBA,PG,50.0,3,25.6,5.7,12.2,.470,1.0,2.6,.388,4.7,9.6,.492,.511,2.2,2.5,.866,0.4,2.2,2.6,4.2,1.0,0.4,1.6,1.1,14.7,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,
Derrick Rose,2020-21,32,DET,NBA,PG,15.0,0,22.8,5.3,12.3,.429,0.9,2.6,.333,4.4,9.7,.455,.465,2.8,3.3,.840,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
Derrick Rose,2020-21,32,NYK,NBA,PG,35.0,3,26.8,5.9,12.2,.487,1.1,2.6,.411,4.9,9.6,.507,.530,1.9,2.2,.883,0.4,2.5,2.9,4.2,0.9,0.4,1.4,1.1,14.9,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
Derrick Rose,2021-22,33,NYK,NBA,PG,26.0,4,24.5,4.7,10.5,.445,1.4,3.5,.402,3.3,7.0,.467,.513,1.2,1.2,.968,0.8,2.2,3.0,4.0,0.8,0.5,1.5,0.6,12.0,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
Derrick Rose,2022-23,34,NYK,NBA,PG,27.0,0,12.5,2.3,5.9,.384,0.7,2.3,.302,1.6,3.6,.438,.443,0.4,0.4,.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
Derrick Rose,2023-24,35,MEM,NBA,PG,24.0,7,16.6,3.2,6.9,.461,0.6,1.7,.366,2.5,5.2,.492,.506,1.0,1.1,.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8.0,2010-11,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
